Station,Hour,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),22,0.9443080908539335,0.8889835671971797,-0.28230782914953895,0.39618384831825837,0.5849133320964248,-0.05190161854592888,-0.36123165665290785,-0.022033194284061003,0.255678759016722,0.5421074384082976
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),23,0.9593732427151619,0.8852928350422877,-0.32292257169766136,0.31999128146513783,0.44703720733456936,-0.2158121950895024,-0.3662757616138707,0.014959737030695662,0.2099542739950071,0.3774118734076889
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),0,0.957221436038934,0.8778236936915436,0.4065571842987339,-0.3562498442995263,-0.10298217206337834,-0.022829481640266925,-0.10676156260165831,0.21616900551740204,0.049244915102020226,0.21505887747137717
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),1,0.9447958945257342,0.8713882353194768,0.4157738418083882,-0.2654749401024472,-0.47526263902987187,0.10777585959673651,-0.04480970915235085,0.2591086172291265,0.04190780127406963,0.09336215415158632
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),2,0.9560119665057663,0.8679534648604904,0.3421338798287043,-0.28410201083144687,-0.17116778181796816,-0.1465280755546964,-0.17872744286756714,0.3368927975270911,0.08421159859618382,0.25207528960642683
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),3,0.960331851666274,0.8277976045686481,0.4334896957746715,-0.3708719139514824,-0.2825593020673357,-0.047820044659240904,-0.08225784027198656,0.31543934210383845,0.031134648556003165,0.14198296127302643
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),4,0.9747264976972945,0.8411730619469012,0.4739854759444469,-0.5112431599118262,0.194418725099802,0.1851318448766795,-0.10880166250159347,0.40684935739065714,0.08824386190614188,0.134079157612416
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),5,0.9665180943146362,0.8720819246631185,0.4220566926662962,-0.3565042267966314,0.11937864024663741,-0.12599645081392072,-0.18361121381445755,0.28959734264767684,0.25308210743594367,0.2077055566600904
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),6,0.9300614945996402,0.8829844676395303,0.5211834167368503,-0.39964439518576467,-0.007071555522152428,0.09300732314805742,-0.15318214231351981,0.2053843953165343,0.1945537411886745,0.3287458419810925
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),7,0.8559156824315177,0.9693876946705696,-0.8105160585887642,0.9960564619663036,0.9220474918802253,-0.09198440996365476,-0.832239719563824,0.4128562135641077,0.7838506227898444,-0.9520280470271408
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),8,0.9866989240422895,0.9457858426251867,0.6191651643958097,-0.3591048593028195,-0.2884295831759365,0.41298986251987374,-0.06080174780782488,-0.26204547187137545,0.23558277680000747,0.16998170989795444
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),9,0.9952532662728433,0.7877029989017392,0.5188145100246296,0.6115619202968138,-0.6057740586075434,0.14302532863932918,-0.5051871051987054,0.3483064405095914,0.3141746370259573,0.5925783016584373
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),10,0.9938164866930246,0.937702189490981,0.40612985899236737,-0.2089774804422192,0.20903724229170767,0.17380569209701735,0.01565093948381539,-0.21179544173373854,0.12931225177323621,-0.07896823551443738
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),11,0.9896805910502651,0.9410068857097643,0.4792927214261115,-0.22364372759646184,0.1900353291231573,0.04015587667345828,-0.03284520665658063,-0.14347492160754727,0.1883141216838887,-0.07408994242163776
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),12,0.9808682614420066,0.9309809515912296,0.6228153629432546,-0.27204111287090976,0.15543810963979193,0.02429983299299793,-0.08523575311869125,-0.1418772062546734,0.1733580047229108,0.002493021019781271
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),13,0.9826550046847247,0.9247514286488937,0.5047850828229455,-0.3142033677253987,0.14696697604179404,0.14401717426397154,-0.006499934922830342,-0.17501297518865336,0.08416655837748775,-0.02374873620826298
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),14,0.9925820579449338,0.9402678817838337,0.43672149625454104,-0.22575615653590994,0.10631788858703284,0.13989211418147915,-0.13275954882399507,-0.08247059911033348,0.2222013443424398,-0.030061705184842746
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),15,0.9956634268329636,0.9403068001589294,0.42233259711201776,-0.19945721661262436,0.1678451074803249,0.1882274376629106,-0.18324458111871625,-0.04517420631375739,0.22219561019168624,0.0752683237592092
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),16,0.9961323759618266,0.9332582480515503,0.5214541861718788,-0.12440395789056907,0.1124267235342758,-0.06021411340777523,-0.23482932750873178,0.08689600658151124,0.24471172655871304,0.5973504721661501
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),17,0.9934274393582313,0.9408051906858628,0.43628830108397115,-0.15700232904085595,0.13606976777971938,-0.04755536149792684,-0.1848053424959839,0.01676595442676696,0.3056366933373035,0.6500510168318328
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),18,0.9848347899720751,0.954605241514765,0.3826957973355298,-0.04202089293388796,0.02035671159685352,-0.060535667428685824,-0.15428144273259833,0.06528032264030019,0.4054476500150382,0.394599588837832
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),19,0.9918620845319354,0.9436991821503161,0.08256705101892989,-0.18212697614242404,0.15042094337514092,0.07201073347745568,-0.1702971969048054,0.15626625020449333,0.4391697307449813,0.3832719926409744
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),20,0.9885787597938671,0.9505754192638256,0.08164814982518909,-0.2506086605633503,0.2068518991785606,0.11856264041840382,-0.2966903651070449,0.09712014183217506,0.38072891271137393,0.4128837003341493
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21,0.9903683238843484,0.9159010172392716,0.11631126407592804,-0.23896533266672443,0.1497832836814856,0.12470348734457772,-0.3235969449070454,0.04503210153246626,0.2381771313901506,0.5478145641214521
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),22,0.980799439860738,0.8968715661103261,0.3777718765181087,-0.25988771317967463,0.09986463684772534,0.26364784832867844,-0.19262499000411334,0.028811574645944058,0.007730378266238543,0.4200254530714482
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),23,0.9711324329526009,0.9024775007089606,0.5019012284044247,-0.2484446570993781,-0.02484393856955816,0.08257242595770635,-0.054862920375202344,0.02199588156565523,-0.06175823724549143,0.2599051501929581
